artist,song,date,rank,weeks-on-board
DRS,Gangsta Lean,1994-02-26,4,20
Da Brat,Fa All Y'all,1995-02-11,37,18
Da Brat,Funkdafied,1994-10-15,6,20
Da Brat,Give It 2 You,1995-08-12,26,18
Da Brat,Sittin' On Top Of The World,1997-01-25,30,16
Da Brat,That's What I'm Looking For,2000-06-24,56,18
Da Brat Featuring Cherish,In Love Wit Chu,2003-08-09,44,16
Da Brat Featuring T-Boz,Ghetto Love,1997-06-28,16,15
Da Brat Featuring Tyrese,What'Chu Like,2000-10-14,26,20
Da Youngsta's,Hip Hop Ride,1994-11-19,68,9
DaBaby,BLAME IT ON BABY,2020-05-02,64,1
DaBaby,BOP,2020-05-02,11,30
DaBaby,Ball If I Want To,2021-08-28,39,9
DaBaby,CAN'T STOP,2020-05-02,63,1
DaBaby,CHAMPION,2020-05-02,85,1
DaBaby,Find My Way,2020-05-16,22,5
DaBaby,INTRO,2019-11-09,13,6
DaBaby,Masterpiece,2021-05-08,55,14
DaBaby,OFF THE RIP,2019-10-12,47,1
DaBaby,PROLLY HEARD,2019-10-12,73,1
DaBaby,Practice,2020-12-19,86,5
DaBaby,Red Light Green Light,2021-08-07,50,5
DaBaby,SAD SHIT,2020-05-02,69,1
DaBaby,Suge,2020-01-18,7,37
DaBaby,TALK ABOUT IT,2020-05-02,74,1
DaBaby,There He Go,2019-10-12,89,1
DaBaby,VIBEZ,2020-02-22,21,20
DaBaby,XXL,2019-10-12,69,1
DaBaby & Nicki Minaj,iPHONE,2019-10-12,43,1
DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,DROP,2020-05-02,71,1
DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,2020-05-09,50,2
"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",GOSPEL,2019-10-12,55,1
DaBaby Featuring Future & jetsonmade,LIGHTSKIN SH*T,2020-05-02,53,1
DaBaby Featuring Kevin Gates,POP STAR,2019-10-19,49,2
DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,2020-03-07,28,13
DaBaby Featuring Migos,RAW SHIT,2019-10-19,51,2
DaBaby Featuring Offset,Baby Sitter,2020-01-04,59,20
DaBaby Featuring Quavo,PICK UP,2020-05-02,44,1
DaBaby Featuring Roddy Ricch,Rockstar,2021-02-20,1,42
DaBaby Featuring Stunna 4 Vegas,REALLY,2019-10-12,63,1
DaBaby Featuring Young Thug,Blind,2020-11-28,74,9
DaBaby Featuring YoungBoy Never Broke Again,Jump,2020-05-23,17,4
DaBaby X Lil Wayne,Lonely,2021-10-02,63,2
DaBaby x Stunna 4 Vegas,No Dribble,2020-08-15,92,1
Daddy Dewdrop,Chick-A-Boom (Don't Ya Jes' Love It),1971-06-19,9,16
Daddy Yankee,Dura,2018-07-07,43,21
Daddy Yankee,Gasolina,2005-03-26,32,20
Daddy Yankee,Like You,2005-07-30,78,7
Daddy Yankee,Rompe,2006-06-10,24,28
Daddy Yankee,Shaky Shaky,2017-01-21,88,2
Daddy Yankee & Katy Perry Featuring Snow,Con Calma,2019-08-03,22,25
Daddy Yankee Featuring Fergie,Impacto,2007-07-07,56,7
Dae Dae,"Wat U Mean (Aye, Aye, Aye)",2016-11-26,66,17
Daft Punk,Around The World,1998-01-10,61,20
Daft Punk,One More Time,2001-05-26,61,16
Daft Punk Featuring Pharrell Williams,Get Lucky,2013-11-16,2,29
Daisy Dee,Crazy,1991-06-08,73,11
Dakota Moon,A Promise I Make,1998-06-13,69,13
Dale & Grace,I'm Leaving It Up To You,1964-01-11,1,15
Dale & Grace,Stop And Think It Over,1964-03-21,8,9
Dale & Grace,The Loneliest Night,1964-05-30,65,5
Dale Hawkins,"A House, A Car And A Wedding Ring",1958-12-15,88,5
Dale Hawkins,La-Do-Dada,1958-11-17,32,12
Dale Hawkins,Yea - Yea (Class Cutter),1959-04-20,52,6
Dale Ward,Letter From Sherry,1964-03-07,25,11
Dale Wright And The Wright Guys With the Dons,Please Don't Do It,1958-09-29,77,5
Dallas Frazier,Elvira,1966-05-21,72,4
Damage,Love II Love,1997-07-26,82,4
"Damian ""Jr. Gong"" Marley",Welcome To Jamrock,2005-10-15,55,12
Damian Dame,Exclusivity,1991-08-03,42,12
Damian Dame,Right Down To It,1992-01-18,90,6
Damien,Soldier,2015-01-03,74,1
Damita Jo,I'll Be There,1961-08-28,12,9
Damita Jo,I'll Save The Last Dance For You,1961-01-09,22,12
Damita Jo,If You Go Away,1967-02-11,68,10
Damita Jo,Keep Your Hands Off Of Him,1961-03-06,75,5
Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,Where I Wanna Be,2000-12-09,95,5
Damn Yankees,Come Again,1991-06-22,50,10
Damn Yankees,Coming Of Age,1990-07-07,60,12
Damn Yankees,High Enough,1991-04-06,3,29
Damn Yankees,"Silence Is Broken (From ""Nowhere To Run"")",1993-06-19,62,10
Damn Yankees,Where You Goin' Now,1993-02-20,20,20
Dan + Shay,19 You + Me,2014-05-17,42,18
Dan + Shay,All To Myself,2019-09-28,31,20
Dan + Shay,From The Ground Up,2016-09-24,48,16
Dan + Shay,Glad You Exist,2021-09-04,21,29
Dan + Shay,How Not To,2017-07-22,57,14
Dan + Shay,I Should Probably Go To Bed,2021-01-30,28,24
Dan + Shay,Nothin' Like You,2016-01-02,51,19
Dan + Shay,Speechless,2019-10-05,24,40
Dan + Shay,Steal My Love,2021-08-28,98,1
Dan + Shay,Take Me Home For Christmas,2021-01-09,48,4
Dan + Shay,Tequila,2019-04-27,21,50
Dan + Shay & Justin Bieber,"10,000 Hours",2020-05-09,4,30
Dan Baird,I Love You Period,1993-03-20,26,16
Dan Fogelberg,Believe In Me,1984-06-23,48,9
Dan Fogelberg,Go Down Easy,1985-04-13,85,4
Dan Fogelberg,Hard To Say,1982-01-02,7,19
Dan Fogelberg,Heart Hotels,1980-06-14,21,13
Dan Fogelberg,Leader Of The Band,1982-04-10,9,20
Dan Fogelberg,Longer,1980-05-10,2,22
Dan Fogelberg,Make Love Stay,1983-05-21,29,16
Dan Fogelberg,Missing You,1983-01-22,23,16
Dan Fogelberg,Part Of The Plan,1975-03-29,31,9
Dan Fogelberg,Run For The Roses,1982-07-03,18,14
Dan Fogelberg,Same Old Lang Syne,1981-04-11,9,18
Dan Fogelberg,She Don't Look Back,1987-07-04,84,6
Dan Fogelberg,The Language Of Love,1984-05-05,13,14
Dan Fogelberg/Tim Weisberg,The Power Of Gold,1979-01-13,24,14
Dan Hartman,Heaven In Your Arms,1981-05-09,86,5
Dan Hartman,I Can Dream About You,1984-10-20,6,25
Dan Hartman,Instant Replay,1979-02-03,29,17
Dan Hartman,It Hurts To Be In Love,1981-07-25,72,5
Dan Hartman,Second Nature,1985-04-27,39,12
Dan Hartman,This Is It,1979-03-10,91,3
Dan Hartman,We Are The Young,1985-01-26,25,17
Dan Hill,All I See Is Your Face,1978-10-07,41,9
Dan Hill,Growin' Up,1976-02-28,67,6
Dan Hill,Let The Song Last Forever,1978-12-09,91,3
Dan Hill,Never Thought (That I Could Love),1988-04-23,43,20
Dan Hill,Sometimes When We Touch,1978-04-22,3,22
Dan Hill (Duet With Vonda Shepard),Can't We Try,1987-11-14,6,24
Dan Peek,All Things Are Possible,1979-10-13,78,5
Dan Reed Network,Ritual,1988-05-21,38,11
Dan Seals,Bop,1986-05-03,42,15
Dana,As We Lay,1997-11-08,59,11
Dana Rollin,Winchester Cathedral,1966-12-10,71,6
Dana Valery,I Don't Want To Be Lonely,1980-02-16,87,5
Dana Valery,Will You Love Me Tomorrow,1976-07-10,95,4
"Dancer, Prancer And Nervous",The Happy Reindeer,1960-01-11,34,6
Danger Danger,Bang Bang,1990-08-25,49,13
DaniLeigh Featuring Chris Brown,Easy,2020-02-22,79,15
Daniel Bedingfield,Gotta Get Thru This,2002-12-14,10,21
Daniel Bedingfield,If You're Not The One,2003-08-16,15,20
Daniel Boone,Annabelle,1972-12-09,86,5
Daniel Boone,Beautiful Sunday,1972-10-14,15,20
Daniel Boone,Run Tell The People,1975-06-07,93,3
Daniel Caesar Featuring H.E.R.,Best Part,2018-12-08,75,19
Daniel Caesar Featuring Kali Uchis,Get You,2018-04-28,93,6
Daniel Powter,Bad Day,2006-09-30,1,32
Daniel Rodriguez,God Bless America,2002-01-05,99,2
Danielle Bradbery,Born To Fly,2013-07-06,75,1
Danielle Bradbery,Grandpa (Tell Me 'Bout The Good Old Days),2013-06-15,89,1
Danielle Bradbery,"Heads Carolina, Tails California",2013-06-08,91,1
Danielle Bradbery,Maybe It Was Memphis,2013-07-06,92,2
Danielle Bradbery,Please Remember Me,2013-06-29,91,1
Danielle Bradbery,The Heart Of Dixie,2014-03-15,58,13
Danielle Bradbery,Who I Am,2013-06-29,78,1
Danity Kane,Damaged,2008-08-23,10,22
Danity Kane,Ride For You,2006-09-09,78,1
Danity Kane,Show Stopper,2007-01-13,8,20
Danity Kane,Sleep On It,2006-09-16,64,2
Dann Rogers,Looks Like Love Again,1980-02-23,41,11
Danny & The Juniors,Back To The Hop,1961-10-16,80,5
Danny & The Juniors,Doin' The Continental Walk,1962-04-14,93,1
Danny & The Juniors,Oo-La-La-Limbo,1963-01-26,99,2
Danny & The Juniors,Pony Express,1961-04-03,60,7
Danny & The Juniors,Twistin' U.S.A.,1960-11-14,27,9
Danny & The Juniors with Freddy Cannon,Twistin' All Night Long,1962-02-03,68,5
Danny Gokey,My Best Days Are Ahead Of Me,2010-03-20,82,1
Danny Holien,Colorado,1972-10-28,66,8
Danny Hutton,Roses And Rainbows,1965-11-20,73,6
Danny O'Keefe,Good Time Charlie's Got The Blues,1972-11-25,9,13
Danny Peppermint and the Jumping Jacks,The Peppermint Twist,1961-12-25,54,4
Danny Valentino,Biology,1960-06-13,95,2
Danny White,Dance Little Lady Dance,1977-03-05,100,2
Danny Williams,A Little Toy Balloon,1964-07-11,84,4
Danny Williams,White On White,1964-06-06,9,14
Danny Wilson,Mary's Prayer,1987-10-17,23,20
Danny Zella and his Zell Rocks,Wicked Ruby,1959-02-23,71,5
Dante Thomas Featuring Pras,Miss California,2001-08-18,85,6
Dante and the Evergreens,Alley-Oop,1960-08-22,15,13
Dante and the Evergreens,Time Machine,1960-10-17,73,6
Danyel Gerard,Butterfly,1972-08-05,78,9
Danzig,Mother,1994-05-21,43,15
Darden Smith,Loving Arms,1993-10-09,96,2
Darius Rucker,Alright,2009-10-10,30,20
Darius Rucker,Beers And Sunshine,2021-04-03,42,15
Darius Rucker,Come Back Song,2010-12-11,37,20
Darius Rucker,Don't Think I Don't Think About It,2008-12-06,35,20
Darius Rucker,For The First Time,2018-06-09,58,10
Darius Rucker,History In The Making,2010-03-27,61,20
Darius Rucker,Homegrown Honey,2015-04-25,53,20
Darius Rucker,I Got Nothin',2011-12-10,84,10
Darius Rucker,If I Told You,2017-07-15,53,11
Darius Rucker,It Won't Be Like This For Long,2009-05-30,36,20
Darius Rucker,Radio,2014-02-08,65,15
Darius Rucker,This,2011-05-28,51,20
Darius Rucker,Wagon Wheel,2013-08-17,15,26
Darlene Love,(Today I Met) The Boy I'm Gonna Marry,1963-05-25,39,8
Darlene Love,A Fine Fine Boy,1963-11-23,53,6
Darlene Love,"All Alone On Christmas (From ""Home Alone 2"")",1993-01-16,83,3
Darlene Love,Christmas (Baby Please Come Home),2021-01-02,19,7
Darlene Love,Wait Til' My Bobby Gets Home,1963-09-21,26,10
Darrell Banks,Open The Door To Your Heart,1966-10-08,27,12
Darrell Banks,Somebody (Somewhere) Needs You,1966-12-03,55,8
Darren Hayes,Insatiable,2002-04-13,77,7
Darrow Fletcher,The Pain Gets A Little Deeper,1966-01-29,89,3
Darryl Worley,A Good Day To Run,2001-03-17,76,9
Darryl Worley,"Awful, Beautiful Life",2005-03-26,30,20
Darryl Worley,Have You Forgotten?,2003-07-26,22,20
Darryl Worley,I Miss My Friend,2002-10-26,28,20
Darryl Worley,If Something Should Happen,2005-07-23,75,9
Darryl Worley,Sounds Like Life To Me,2009-10-24,84,11
Darryl Worley,When You Need My Love,2000-09-16,75,15
Darude,Sandstorm,2001-09-22,83,10
Daryl Braithwaite,Higher Than Hope,1991-08-03,47,10
Daryl Hall,Dreamtime,1986-11-08,5,15
Daryl Hall,Foolish Pride,1987-01-10,33,13
Daryl Hall,I'm In A Philly Mood,1993-10-09,82,2
Daryl Hall,Someone Like You,1987-03-14,57,8
Daryl Hall John Oates,Adult Education,1984-06-09,8,17
Daryl Hall John Oates,Back Together Again,1977-07-09,28,10
Daryl Hall John Oates,Did It In A Minute,1982-07-03,9,16
Daryl Hall John Oates,"Do What You Want, Be What You Are",1977-02-05,39,15
Daryl Hall John Oates,Don't Hold Back Your Love,1991-03-16,41,11
Daryl Hall John Oates,Downtown Life,1988-11-26,31,9
Daryl Hall John Oates,Everything Your Heart Desires,1988-07-30,3,16
Daryl Hall John Oates,Family Man,1983-08-13,6,16
Daryl Hall John Oates,How Does It Feel To Be Back,1980-10-11,30,13
Daryl Hall John Oates,I Can't Go For That (No Can Do),1982-04-03,1,21
Daryl Hall John Oates,I Don't Wanna Lose You,1979-02-10,42,10
Daryl Hall John Oates,I'll Be Around,2005-02-05,97,3
Daryl Hall John Oates,It's A Laugh,1978-11-25,20,14
Daryl Hall John Oates,It's Uncanny,1977-08-13,80,3
Daryl Hall John Oates,Kiss On My List,1981-06-27,1,23
Daryl Hall John Oates,Maneater,1983-03-19,1,23
Daryl Hall John Oates,Method Of Modern Love,1985-04-20,5,19
Daryl Hall John Oates,Missed Opportunity,1988-09-17,29,11
Daryl Hall John Oates,One On One,1983-05-28,7,18
Daryl Hall John Oates,Out Of Touch,1985-03-02,1,23
Daryl Hall John Oates,Possession Obsession,1985-08-17,30,12
Daryl Hall John Oates,Private Eyes,1982-01-30,1,23
Daryl Hall John Oates,Rich Girl,1977-06-04,1,20
Daryl Hall John Oates,Sara Smile,1976-08-07,4,28
Daryl Hall John Oates,Say It Isn't So,1984-02-25,2,18
Daryl Hall John Oates,She's Gone,1976-12-04,7,28
Daryl Hall John Oates,So Close,1991-02-02,11,19
Daryl Hall John Oates,Some Things Are Better Left Unsaid,1985-06-08,18,13
Daryl Hall John Oates,The Way You Do The Things You Do/My Girl,1985-11-09,20,11
Daryl Hall John Oates,Wait For Me,1980-03-01,18,19
Daryl Hall John Oates,Why Do Lovers (Break Each Other's Heart?),1977-11-26,73,6
Daryl Hall John Oates,You Make My Dreams,1981-09-19,5,21
Daryl Hall John Oates,You've Lost That Lovin' Feeling,1981-02-07,12,20
Daryl Hall John Oates,Your Imagination,1982-08-28,33,11
Daryle Singletary,The Note,1998-04-04,90,6
Das EFX,Freakit,1994-01-29,43,12
Das EFX,Real Hip Hop,1995-11-25,61,10
Das EFX,They Want EFX,1992-09-19,25,20
Das EFX (Featuring Mobb Deep),Microphone Master,1996-03-02,86,3
Dashboard Confessional,Don't Wait,2006-07-22,80,4
Dashboard Confessional,Stolen,2007-07-07,44,12
Daughtry,Crawling Back To You,2012-01-28,41,10
Daughtry,Feels Like Tonight,2008-06-21,24,20
Daughtry,Home,2007-11-24,5,37
Daughtry,It's Not Over,2007-06-23,4,29
Daughtry,Life After You,2010-05-01,36,20
Daughtry,No Surprise,2009-10-31,15,24
Daughtry,Over You,2008-02-09,18,25
Daughtry,September,2011-01-01,36,20
Daughtry,Waiting For Superman,2014-03-22,66,17
Daughtry,What About Now,2009-01-03,18,20
Daughtry,You Don't Belong,2009-08-01,95,1
"Dave ""Baby"" Cortez",Count Down,1966-06-18,91,3
"Dave ""Baby"" Cortez",Fiesta,1962-11-24,96,2
"Dave ""Baby"" Cortez",Happy Weekend,1962-11-24,67,7
"Dave ""Baby"" Cortez",Hot Cakes! 1st Serving,1963-04-27,91,2
"Dave ""Baby"" Cortez",Organ Shout,1963-09-07,76,3
"Dave ""Baby"" Cortez",The Happy Organ,1959-07-06,1,17
"Dave ""Baby"" Cortez",The Whistling Organ,1959-07-27,61,8
Dave & Ansil Collins,Double Barrel,1971-08-21,22,11
"Dave Dee, Dozy, Beaky, Mick And Tich",Zabadak,1968-02-10,52,6
Dave Dudley,Cowboy Boots,1963-10-12,95,1
Dave Dudley,Six Days On The Road,1963-08-17,32,11
Dave Edmunds,Almost Saturday Night,1981-06-27,54,8
Dave Edmunds,Girls Talk,1979-10-06,65,6
Dave Edmunds,High School Nights,1985-04-27,91,2
Dave Edmunds,I Hear You Knocking,1971-03-13,4,12
Dave Edmunds,I'm Comin' Home,1971-05-22,75,4
Dave Edmunds,Slipping Away,1983-08-20,39,15
Dave Hollister,Can't Stay,2000-04-15,84,4
Dave Hollister,My Favorite Girl,1999-07-31,39,17
Dave Hollister,One Woman Man,2001-04-21,44,20
Dave Loggins,Please Come To Boston,1974-09-28,5,18
Dave Loggins,Someday,1974-12-14,57,5
Dave Mason,"Let It Go, Let It Flow",1978-03-11,45,8
Dave Mason,Only You Know And I Know,1970-10-03,42,10
Dave Mason,Satin Red And Black Velvet Woman,1970-12-19,97,2
Dave Mason,Save Me,1980-07-26,71,3
Dave Mason,So High (rock Me Baby And Roll Me Away),1977-06-11,89,3
Dave Mason,We Just Disagree,1978-01-07,12,19
Dave Mason,Will You Still Love Me Tomorrow,1978-08-19,39,12
Dave Matthews Band,American Baby,2005-07-23,16,11
Dave Matthews Band,Crush,1999-05-29,75,16
Dave Matthews Band,Funny The Way It Is,2009-07-11,37,8
Dave Matthews Band,I Did It,2001-04-07,71,11
Dave Matthews Band,Mercy,2012-08-04,95,1
Dave Matthews Band,The Space Between,2001-10-20,22,23
Dave Matthews Band,Where Are You Going,2002-10-26,39,20
Dave Matthews Band,You And Me,2010-02-27,57,2
Dave Stewart and Barbara Gaskin,It's My Party,1982-02-06,72,8
Dave York and The Beachcombers,Beach Party,1962-08-25,95,1
David & David,Ain't So Easy,1987-04-04,51,11
David & David,Welcome To The Boomtown,1987-01-17,37,16
David & Jimmy Ruffin,Stand By Me,1970-12-05,61,7
David & Jonathan,Michelle,1966-03-05,18,9
David A. Stewart Introducing Candy Dulfer,Lily Was Here,1991-08-31,11,16
David Archuleta,Angels,2008-11-15,89,1
David Archuleta,Crush,2009-01-31,2,23
David Archuleta,Don't Let The Sun Go Down On Me,2008-06-07,58,1
David Archuleta,Imagine,2008-06-07,36,1
David Archuleta,In This Moment,2008-06-07,60,1
David Ball,Riding With Private Malone,2002-03-09,36,20
David Ball,Thinkin' Problem,1994-09-17,40,12
David Banner,Play,2005-12-03,7,20
David Banner Featuring Chris Brown,Get Like Me,2008-10-11,16,21
David Banner Featuring Lil' Flip,Like A Pimp,2003-09-06,48,20
David Bellamy,Nothin' Heavy,1975-10-25,77,6
David Blue,Outlaw Man,1973-06-02,94,4
David Bowie,Absolute Beginners,1986-05-24,53,9
David Bowie,Blackstar,2016-01-30,78,1
David Bowie,Blue Jean,1985-01-12,8,18
David Bowie,Cat People (Putting Out Fire),1982-06-19,67,10
David Bowie,Changes,1975-02-15,41,18
David Bowie,China Girl,1983-10-01,10,18
David Bowie,Day-In Day-Out,1987-06-20,21,12
David Bowie,Fame,1975-11-15,1,21
David Bowie,Fashion,1981-01-31,70,9
David Bowie,Golden Years,1976-05-01,10,21
David Bowie,I'm Afraid Of Americans,1998-03-07,66,16
David Bowie,Lazarus,2016-01-30,40,1
David Bowie,Let's Dance,1983-08-06,1,20
David Bowie,Modern Love,1983-12-10,14,13
David Bowie,Never Let Me Down,1987-10-17,27,11
David Bowie,Rebel Rebel,1974-07-20,64,8
David Bowie,Sound And Vision,1977-05-14,69,6
David Bowie,Space Oddity,2016-01-30,15,15
David Bowie,Starman,1972-08-26,65,9
David Bowie,TVC15,1976-06-19,64,5
David Bowie,The Hearts Filthy Lesson,1995-10-21,92,2
David Bowie,The Jean Genie,1972-12-23,71,5
David Bowie,Tonight,1985-01-26,53,9
David Bowie,Without You,1984-03-31,73,4
David Bowie,Young Americans,1975-05-24,28,11
David Bowie & Mick Jagger,Dancing In The Street,1985-11-30,7,14
David Bowie/Pat Metheny Group,This Is Not America,1985-04-20,32,12
David Carroll And His Orchestra,Midnight Lace,1960-10-24,98,1
David Carroll And His Orchestra,The White Rose Of Athens,1962-04-21,61,7
David Cassidy,Cherish,1972-01-22,9,12
David Cassidy,Could It Be Forever,1972-04-15,37,9
David Cassidy,How Can I Be Sure,1972-07-15,25,9
David Cassidy,Lyin' To Myself,1991-01-05,27,16
David Cassidy,Rock Me Baby,1972-10-28,38,8
David Castle,Ten To Eight,1977-11-05,68,7
David Castle,The Loneliest Man On The Moon,1978-01-14,89,2
David Cook,Always Be My Baby,2008-06-07,67,1
David Cook,Billie Jean,2008-06-07,47,1
David Cook,Come Back To Me,2009-10-03,63,19
David Cook,Dream Big,2008-06-14,15,2
David Cook,Eleanor Rigby,2008-06-07,92,1
David Cook,Hello,2008-06-07,73,1
David Cook,I Don't Want To Miss A Thing,2008-06-07,42,1
David Cook,I Still Haven't Found What I'm Looking For,2008-06-14,22,2
David Cook,I'm Alive,2008-06-07,99,1
David Cook,Light On,2009-03-07,17,20
David Cook,Permanent,2009-06-13,24,2
David Cook,The Music Of The Night,2008-06-07,77,1
David Cook,The Time Of My Life,2008-10-18,3,20
David Cook,The World I Know,2008-06-07,28,1
David Crosby,Music Is Love,1971-05-01,95,1
David Crosby & Phil Collins,Hero,1993-09-18,44,20
David Crosby/Graham Nash,Carry Me,1975-12-20,52,6
David Crosby/Graham Nash,Out Of The Darkness,1976-08-21,89,3
David Dundas,Jeans On,1977-02-26,17,21
David Essex,Lamplight,1974-06-29,71,5
David Essex,Rock On,1974-04-27,5,25
David Foster,Love Theme From St. Elmo's Fire (Instrumental),1986-01-18,15,22
David Foster,Winter Games,1988-03-12,85,3
David Foster And Olivia Newton-John,The Best Of Me,1986-08-02,80,8
David Gates,Clouds,1973-09-01,47,8
David Gates,Goodbye Girl,1978-05-27,15,24
David Gates,Never Let Her Go,1975-03-22,29,10
David Gates,Sail Around The World,1973-12-08,50,8
David Gates,Take Me Now,1981-11-07,62,7
David Gates,Took The Last Train,1978-11-11,30,14
David Gates,Where Does The Lovin' Go,1980-03-29,46,8
David Geddes,Run Joey Run,1975-10-25,4,13
David Geddes,The Last Game Of The Season (A Blind Man In The Bleachers),1976-01-03,18,8
David Gilmour,Blue Light,1984-05-19,62,7
David Gray,Babylon,2001-03-31,57,18
David Guetta & Chris Willis,Love Is Gone,2008-06-14,98,1
David Guetta & Chris Willis Featuring Fergie & LMFAO,Gettin' Over You,2010-09-25,31,20
David Guetta Featuring Akon,Sexy Chick,2010-05-22,5,40
David Guetta Featuring Chris Brown & Lil Wayne,I Can Only Imagine,2012-11-24,44,14
David Guetta Featuring Flo Rida & Nicki Minaj,Where Them Girls At,2011-10-01,14,20
David Guetta Featuring Jennifer Hudson,Night Of Your Life,2011-09-10,81,1
David Guetta Featuring Justin Bieber,2U,2017-09-09,16,11
David Guetta Featuring Kelly Rowland,When Love Takes Over,2009-09-05,76,9
David Guetta Featuring Kid Cudi,Memories,2011-02-19,46,18
David Guetta Featuring Ne-Yo & Akon,Play Hard,2013-08-10,64,9
David Guetta Featuring Nicki Minaj,Turn Me On,2012-06-16,4,27
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Hey Mama,2015-09-19,8,24
David Guetta Featuring Rihanna,Who's That Chick?,2011-03-12,51,9
David Guetta Featuring Sam Martin,Dangerous,2015-02-14,56,15
David Guetta Featuring Sia,Titanium,2012-12-08,7,33
David Guetta Featuring Sia & Fetty Wap,Bang My Head,2016-03-05,76,6
David Guetta Featuring Taio Cruz & Ludacris,Little Bad Girl,2011-07-16,70,1
David Guetta Featuring Usher,Without You,2012-04-07,4,30
David Hallyday,He's My Girl,1987-10-03,79,6
David Hallyday,Ooh La La,1991-07-27,51,10
David Hill,Living Doll,1959-10-26,92,2
David Hill,Two Brothers,1959-04-27,90,2
David Houston,Almost Persuaded,1966-10-22,24,15
David Houston,Have A Little Faith,1968-03-16,98,2
David Houston,You Mean The World To Me,1967-11-18,75,7
David Houston & Tammy Wynette,My Elusive Dreams,1967-08-05,89,5
David Hudson,"Honey, Honey",1980-09-06,59,11
David Jones,What Are We Going To Do?,1965-08-28,93,3
David Kersh,If I Never Stop Loving You,1998-05-30,67,16
David Laflamme,White Bird,1977-01-22,89,7
David Lasley,If I Had My Wish Tonight,1982-05-15,36,10
David Lee Murphy,Loco,2004-09-04,44,18
David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright,2018-07-28,66,13
David Lee Roth,California Girls,1985-05-04,3,16
David Lee Roth,Goin' Crazy!,1986-11-08,66,7
David Lee Roth,Just A Gigolo/I Ain't Got Nobody,1985-07-13,12,17
David Lee Roth,Just Like Paradise,1988-04-30,6,16
David Lee Roth,Stand Up,1988-06-04,64,8
David Lee Roth,That's Life,1986-12-13,85,4
David Lee Roth,Yankee Rose,1986-10-11,16,15
David Nail,Night's On Fire,2016-08-06,81,5
David Nail,Red Light,2010-01-23,54,16
David Nail,Whatever She's Got,2014-03-08,35,21
David Nail Featuring Sarah Buxton,Let It Rain,2012-02-11,51,20
David Naughton,Makin' It,1979-09-08,5,24
David Pack,Prove Me Wrong,1986-02-08,95,3
David Rose and His Orchestra,The Stripper,1962-09-01,1,17
David Ruffin,Everything's Coming Up Love,1976-08-07,49,9
David Ruffin,Heavy Love,1976-05-01,47,7
David Ruffin,I'm So Glad I Fell For You,1970-01-31,53,7
David Ruffin,I've Lost Everything I've Ever Loved,1969-08-16,58,5
David Ruffin,My Whole World Ended (The Moment You Left Me),1969-04-19,9,10
David Ruffin,Walk Away From Love,1976-02-14,9,15
David Sanborn,Bang Bang,1992-11-07,53,11
David Seville,Judy,1959-05-18,86,1
David Seville,Little Brass Band,1958-09-01,78,2
David Seville,The Bird On My Head,1958-08-04,79,1
David Seville And The Chipmunks,Alvin For President,1960-09-26,95,2
David Seville And The Chipmunks,Alvin's Harmonica,1962-12-22,3,15
David Seville And The Chipmunks,Alvin's Orchestra,1960-03-21,33,5
David Seville And The Chipmunks,Ragtime Cowboy Joe,1959-08-31,16,9
David Seville And The Chipmunks,Rudolph The Red Nosed Reindeer,1962-12-29,21,8
David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late),1962-12-29,39,15
David Soul,Don't Give Up On Us,1977-06-04,1,19
David Soul,Going In With My Eyes Open,1977-06-18,54,7
David Soul,Silver Lady,1977-11-26,52,12
David Thorne,The Alley Cat Song,1962-11-17,76,4
Davie Allan And The Arrows,Blue's Theme,1967-09-30,37,17
Davie Allan And The Arrows,Devil's Angels,1967-07-29,97,1
Davie Allan And The Arrows,Theme From The Wild Angels,1966-11-19,99,2
Davina,Come Over To My Place,1998-06-13,81,9
Davina,So Good,1998-03-07,60,19
Davy Jones,Rainy Jane,1971-08-14,52,9
Dawin,Dessert,2016-03-05,68,11
Dawn,Candida,1970-11-21,3,18
Dawn,I Play And Sing,1971-05-15,25,8
Dawn,Knock Three Times,1971-03-20,1,18
Dawn,Summer Sand,1971-08-21,33,10
Dawn Featuring Tony Orlando,It Only Hurts When I Try To Smile,1974-04-27,81,5
Dawn Featuring Tony Orlando,Runaway/Happy Together,1972-02-19,79,4
Dawn Featuring Tony Orlando,"Say, Has Anybody Seen My Sweet Gypsy Rose",1973-10-27,3,16
Dawn Featuring Tony Orlando,Tie A Yellow Ribbon Round The Ole Oak Tree,1973-07-21,1,23
Dawn Featuring Tony Orlando,Vaya Con Dios,1972-07-08,95,3
Dawn Featuring Tony Orlando,What Are You Doing Sunday,1971-11-27,39,9
Dawn Featuring Tony Orlando,You're A Lady,1973-01-13,70,8
Dawn Penn,"You Don't Love Me (No, No, No)",1994-05-14,58,12
Daya,Hide Away,2016-04-09,23,27
Daya,"Sit Still, Look Pretty",2016-11-26,28,24
