artists,title,date,accousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness
Janet Jackson,Nasty,1986-08-02,0.452,0.839,243133,0.89,0.0224,0.0866,0.0628
Janet Jackson,Rhythm Nation,1990-01-20,0.0504,0.633,330933,0.931,0.109,0.375,0.0686
Janet Jackson,Runaway,1995-12-16,0.364,0.787,214933,0.86,0.041,0.0612,0.0344
Janet Jackson,Someone To Call My Lover,2001-10-06,0.144,0.738,272360,0.914,0.00099,0.182,0.0434
Janet Jackson,That's The Way Love Goes,1993-08-07,0.302,0.703,265107,0.7,0.471,0.0718,0.0693
Janet Jackson,Together Again,1998-03-21,0.0631,0.865,301200,0.505,0.0151,0.102,0.102
Janet Jackson,What Have You Done For Me Lately,1986-05-31,0.0157,0.846,299493,0.396,0.0116,0.0656,0.0677
Janet Jackson,When I Think Of You,1986-11-01,0.084,0.759,235493,0.639,0.0331,0.0518,0.0425
Janet Jackson,You Want This,1995-01-07,0.113,0.844,305667,0.843,0.0439,0.1,0.0551
Janis Ian,At Seventeen - Remastered,1975-09-27,0.876,0.616,283880,0.271,0.000126,0.113,0.0458
Janis Joplin,Me and Bobby McGee,1971-04-17,0.303,0.43,271333,0.463,5.84e-05,0.152,0.0442
Jason Aldean,Dirt Road Anthem,2011-07-02,0.347,0.68,229400,0.741,1.87e-06,0.117,0.0357
Jason Derulo,In My Head,2010-05-15,0.0266,0.762,199027,0.748,0.0,0.348,0.033
Jason Derulo,Ridin' Solo,2010-08-28,0.128,0.442,215747,0.83,0.0,0.129,0.146
Jason Derulo,Want to Want Me,2015-07-04,0.00906,0.775,207719,0.68,0.0,0.109,0.0629
Jason Derulo,Whatcha Say,2010-01-16,0.0444,0.615,221253,0.711,0.0,0.145,0.0779
"Jason Derulo, 2 Chainz",Talk Dirty (feat. 2 Chainz),2014-06-07,0.0348,0.76,177685,0.652,0.0,0.307,0.232
"Jason Derulo, Snoop Dogg",Wiggle (feat. Snoop Dogg),2014-08-02,0.0802,0.697,193296,0.621,0.0,0.162,0.25
Jason Mraz,I Won't Give Up,2012-01-21,0.694,0.483,240166,0.303,0.0,0.115,0.0429
Jason Mraz,I’m Yours,2009-02-21,0.571,0.698,242040,0.45,0.0,0.113,0.0442
"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),2020-11-21,0.234,0.767,171375,0.481,0.0,0.269,0.0803
Jay & The Americans,Come A Little Bit Closer,1964-11-28,0.52,0.636,166667,0.684,0.0015,0.534,0.057
Jay & The Americans,She Cried,1962-05-26,0.79,0.423,159933,0.322,1.17e-05,0.0823,0.0265
Jay & The Americans,This Magic Moment,1969-03-15,0.41,0.517,177093,0.59,0.072,0.178,0.0336
Jay Ferguson,Thunder Island,1978-04-08,0.00113,0.497,240693,0.718,0.0606,0.544,0.0275
"Jay Sean, Lil Wayne",Down,2010-01-23,0.0101,0.727,212507,0.68,0.0,0.0821,0.0286
"Jay Sean, Sean Paul, Lil Jon",Do You Remember,2010-01-09,0.0204,0.854,210800,0.674,0.0,0.101,0.0705
Jean Knight,Mr. Big Stuff,1971-08-28,0.29,0.886,164560,0.491,2.46e-06,0.229,0.171
Jeanne Black,He'll Have To Stay,1960-06-20,0.953,0.354,164440,0.179,2.54e-06,0.114,0.0355
Jeannie C. Riley,Harper Valley P.T.A.,1968-10-26,0.629,0.795,194400,0.448,0.0,0.0659,0.0444
"Jeezy, Akon",Soul Survivor,2005-12-17,0.00103,0.682,280013,0.483,0.0,0.159,0.0451
Jefferson Airplane,Somebody to Love,1967-06-24,0.408,0.504,174840,0.578,0.0,0.321,0.031
Jefferson Airplane,White Rabbit,1967-08-05,0.486,0.551,150640,0.293,0.000273,0.0864,0.0272
Jefferson Starship,Count on Me,1978-05-27,0.259,0.552,194893,0.325,1.27e-05,0.453,0.0284
Jefferson Starship,Miracles,1975-11-15,0.366,0.617,412040,0.335,0.0,0.115,0.0301
Jennifer Lopez,If You Had My Love,1999-09-04,0.0645,0.68,266000,0.625,5.81e-05,0.109,0.0353
Jennifer Lopez,Love Don't Cost a Thing,2001-03-24,0.00305,0.786,221227,0.842,3.54e-06,0.473,0.0707
Jennifer Lopez,Waiting for Tonight,1999-12-18,0.00341,0.695,246427,0.945,0.0727,0.103,0.0418
"Jennifer Lopez, Jadakiss, Styles P",Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,2003-01-18,0.00736,0.84,189765,0.762,3.77e-06,0.0615,0.226
"Jennifer Lopez, LL COOL J",All I Have (feat. LL Cool J),2003-04-12,0.265,0.699,254467,0.668,0.0,0.141,0.106
"Jennifer Lopez, Pitbull",On The Floor,2011-06-25,0.105,0.73,284867,0.777,0.000478,0.0691,0.0496
Jennifer Paige,Crush,1998-11-28,0.0262,0.733,199960,0.706,0.0,0.0881,0.0292
Jennifer Warnes,Right Time of the Night,1977-05-14,0.551,0.563,173653,0.478,0.0,0.159,0.024
Jeremih,Birthday Sex,2009-08-01,0.297,0.679,226507,0.522,0.0,0.151,0.0427
"Jeremih, 50 Cent",Down On Me,2011-05-28,0.0369,0.7,228453,0.598,0.0,0.111,0.114
Jermaine Jackson,Daddy's Home,1973-03-17,0.425,0.643,184600,0.242,0.0,0.0872,0.03
Jermaine Jackson,Let's Get Serious - Single Version,1980-07-19,0.0958,0.754,214467,0.778,2.96e-06,0.245,0.0526
Jermaine Stewart,We Don't Have To Take Our Clothes Off,1986-08-23,0.0244,0.816,293240,0.707,0.000142,0.0469,0.0363
Jerry Butler,He Will Break Your Heart,1960-12-19,0.22,0.612,170093,0.601,0.0,0.446,0.0425
Jerry Butler,Only The Strong Survive - Single Version,1969-05-03,0.766,0.423,158240,0.425,4.52e-06,0.35,0.0517
Jerry Reed,Amos Moses,1971-03-06,0.4,0.738,139227,0.723,0.00134,0.0166,0.0728
Jerry Wallace,Primrose Lane,1959-11-23,0.628,0.558,143436,0.41,0.0192,0.0912,0.0333
Jess Glynne,I’ll Be There - Acoustic,1992-07-25,0.834,0.486,195906,0.48,0.0,0.267,0.028
Jesse McCartney,Leavin',2008-08-09,0.0283,0.687,216880,0.71,3.71e-06,0.0689,0.0522
"Jesse Powell, Gerald Albright",You,1999-03-06,0.299,0.722,318467,0.327,0.000661,0.0549,0.026
Jessi Colter,I'm Not Lisa,1975-07-05,0.711,0.444,203107,0.185,0.0384,0.121,0.0254
Jessica Simpson,I Wanna Love You Forever,2000-01-22,0.156,0.59,263800,0.666,0.0,0.136,0.0244
Jessie J,Domino,2012-02-18,0.0115,0.757,231693,0.547,0.0,0.0445,0.0355
"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,2014-11-29,0.26,0.706,199387,0.786,0.0,0.38,0.091
Jesus Jones,Real Real Real,1991-11-09,0.0478,0.596,188760,0.547,4.92e-05,0.157,0.0331
Jewel,Foolish Games,1997-11-15,0.945,0.296,340667,0.0724,0.000334,0.0948,0.0374
Jewel,Hands,1999-02-06,0.421,0.643,235000,0.495,0.00123,0.082,0.0292
Jewel Akens,The Birds and the Bees,1965-04-10,0.585,0.849,129245,0.521,0.0,0.106,0.0337
Jibbs,Chain Hang Low,2006-10-28,0.0259,0.792,207587,0.589,0.000128,0.114,0.262
Jigsaw,Sky High,1975-12-20,0.106,0.603,173000,0.638,0.0,0.206,0.03
Jim Croce,I'll Have To Say I Love You In A Song,1974-04-27,0.833,0.536,154627,0.446,0.0103,0.106,0.029
Jim Croce,Time in a Bottle,1974-01-26,0.848,0.544,146176,0.265,0.0,0.196,0.035
Jim Croce,You Don't Mess Around with Jim,1972-09-09,0.607,0.705,184640,0.581,1.52e-05,0.117,0.0455
Jim Jones,We Fly High,2007-02-17,0.0791,0.506,236080,0.799,0.0,0.0929,0.38
Jim Reeves,He'll Have to Go,1960-04-25,0.909,0.554,138640,0.186,0.00144,0.11,0.0379
Jim Stafford,Spiders & Snakes,1974-03-16,0.337,0.657,186667,0.722,0.000694,0.164,0.0548
Jim Stafford,Wildwood Weed,1974-08-31,0.732,0.682,160840,0.425,2.71e-06,0.128,0.0366
Jimmie Rodgers,Are You Really Mine,1958-09-01,0.749,0.7,148533,0.195,0.0,0.0472,0.0322
Jimmy Buffett,Margaritaville,1977-07-30,0.711,0.8,250933,0.545,0.00191,0.104,0.0357
"Jimmy Buffett, Clint Black, Kenny Chesney, Alan Jackson, Toby Keith, George Strait",Hey Good Lookin',1960-02-01,0.211,0.714,183293,0.885,3.87e-06,0.255,0.0411
Jimmy Clanton,Venus in Blue Jeans,1962-10-06,0.354,0.497,143827,0.762,5.89e-05,0.278,0.038
Jimmy Clanton And His Rockets,Just a Dream,1958-09-29,0.801,0.484,151347,0.456,0.0,0.119,0.0406
Jimmy Dean,Big Bad John,1961-12-18,0.596,0.516,182560,0.457,0.0,0.106,0.184
Jimmy Dean,P.T. 109,1962-05-26,0.543,0.746,192427,0.666,0.0,0.0488,0.146
Jimmy Eat World,The Middle,2002-07-27,0.0371,0.643,165853,0.849,0.0,0.058,0.0526
Jimmy Gilmer & The Fireballs,Sugar Shack,1963-12-07,0.562,0.794,121061,0.805,1.1e-05,0.157,0.0916
Jimmy Jones,Good Timin',1960-06-27,0.609,0.552,128480,0.562,0.000125,0.093,0.0412
Jimmy Jones,Handy Man,1960-03-28,0.4,0.477,124120,0.781,0.0,0.331,0.0654
Jimmy Ruffin,Hold On To My Love,1980-05-10,0.337,0.713,247213,0.994,0.000378,0.805,0.105
Jimmy Ruffin,What Becomes Of The Brokenhearted,1966-11-05,0.678,0.733,178440,0.443,0.0,0.519,0.0252
Jimmy Soul,If You Wanna Be Happy,1963-06-08,0.695,0.673,143000,0.866,0.000231,0.328,0.0391
JoJo,Too Little Too Late,2006-11-11,0.00871,0.421,221720,0.799,1.63e-05,0.0794,0.0562
Joan Baez,The Night They Drove Old Dixie Down,1971-11-06,0.558,0.564,206067,0.357,0.0,0.233,0.0326
Joan Jett & the Blackhearts,Crimson and Clover,1982-06-26,0.0601,0.181,197493,0.772,0.00045,0.072,0.0385
Joan Jett & the Blackhearts,I Hate Myself for Loving You,1988-10-15,0.0847,0.611,246800,0.882,1.08e-06,0.192,0.0538
Joan Jett & the Blackhearts,I Love Rock 'N Roll,1982-05-15,0.326,0.535,175173,0.716,0.0,0.659,0.0431
Joan Osborne,One Of Us,1996-03-23,0.0108,0.316,320467,0.499,1.81e-05,0.126,0.0298
Joanie Sommers,Johnny Get Angry,1962-07-21,0.78,0.628,156560,0.27,0.0,0.325,0.0359
Jodeci,Lately,1993-09-25,0.631,0.377,373627,0.315,0.0,0.946,0.0619
Jody Watley,Everything,1990-02-03,0.584,0.57,255413,0.692,0.0112,0.203,0.0303
Jody Watley,Some Kind Of Lover,1988-04-16,0.0744,0.827,249440,0.596,0.0266,0.0768,0.0559
"Jody Watley, Eric B. & Rakim, Hank Shocklee, Paul Shabazz, Eric Sadler",Friends - 1989 Remix Album Version,1989-09-02,0.0479,0.808,352120,0.663,2.53e-05,0.0989,0.157
"Jody Watley, Louil Silas Jr.",Looking For A New Love - Radio Edit,1987-05-23,0.149,0.905,242400,0.604,9.24e-05,0.0523,0.0413
"Jody Watley, Louil Silas Jr.",Real Love,1989-06-03,0.00241,0.7,261440,0.727,0.00131,0.0267,0.0737
"Jody Watley, Michael Hutchinson, Francois Kevorkian",Don't You Want Me,1988-01-09,0.0673,0.882,253600,0.587,1.09e-05,0.0527,0.0396
Joe,I Wanna Know,2000-09-23,0.26,0.725,296693,0.487,1.09e-05,0.431,0.0368
Joe Cocker,You Are So Beautiful,1975-04-05,0.846,0.297,159640,0.182,0.00267,0.134,0.0298
"Joe Cocker, Jennifer Warnes","Up Where We Belong - From ""An Officer And A Gentleman""",1982-12-04,0.634,0.624,232667,0.306,2.67e-05,0.0632,0.0318
Joe Dowell,Wooden Heart,1961-09-18,0.713,0.844,118427,0.462,0.0234,0.106,0.0525
Joe Henderson,Snap Your Fingers,1962-07-07,0.655,0.684,177707,0.247,2.1e-05,0.101,0.126
Joe Jackson,Steppin' Out,1983-01-08,0.0439,0.579,268200,0.223,0.00232,0.0613,0.0364
Joe Jones,You Talk Too Much,1960-11-21,0.605,0.756,152880,0.739,4.2e-06,0.0736,0.0377
Joe Public,Live and Learn,1992-06-13,0.0794,0.744,262333,0.894,0.0,0.139,0.0711
Joe Tex,Hold What You've Got,1965-02-13,0.804,0.529,187840,0.218,0.0,0.117,0.0435
Joe Tex,I GOTCHA,1972-05-27,0.182,0.84,148813,0.856,0.000297,0.306,0.328
Joe Tex,Skinny Legs and All,1968-01-13,0.718,0.599,191000,0.394,0.0018,0.706,0.0721
"Joe, Mystikal, Allen Gordon",Stutter (feat. Mystikal) - Double Take Remix,2001-05-05,0.0513,0.767,213027,0.759,0.0,0.31,0.117
Joey McIntyre,Stay The Same,1999-04-17,0.0249,0.629,227400,0.553,0.0,0.141,0.0297
Joey Powers,Midnight Mary,1964-01-11,0.807,0.573,141884,0.416,0.0,0.378,0.0282
"Joey Quinones, Thee Sinseers",I Don’t Mind,2016-08-06,0.272,0.889,164013,0.498,0.196,0.142,0.0333
Joey Scarbury,"Believe It or Not (Theme from ""Greatest American Hero"")",1981-09-05,0.249,0.521,195293,0.743,0.0,0.096,0.0338
John Cafferty & the Beaver Brown Band,On The Dark Side,1984-11-03,0.0357,0.392,161827,0.727,0.000239,0.754,0.155
John Denver,Annie's Song,1974-08-10,0.871,0.304,180693,0.305,0.00368,0.367,0.0298
John Denver,Back Home Again,1974-11-23,0.837,0.528,285373,0.305,3.03e-06,0.113,0.0301
John Denver,I'm Sorry,1975-11-08,0.891,0.447,211773,0.236,0.00151,0.201,0.0313
John Denver,Rocky Mountain High,1973-03-10,0.314,0.455,283640,0.437,0.0,0.501,0.0278
John Denver,Sunshine On My Shoulders,1974-04-20,0.915,0.322,311893,0.168,0.000223,0.117,0.0336
John Denver,Thank God I'm a Country Boy,1975-06-14,0.785,0.762,193093,0.537,0.000669,0.0551,0.0478
John Fogerty,The Old Man Down The Road,1985-03-02,0.0271,0.768,214093,0.809,0.000633,0.0584,0.0289
John Fred and The Playboys,Judy in Disguise (with Glasses),1968-02-17,0.0847,0.638,181173,0.337,0.152,0.0665,0.0498
John Legend,All of Me,2014-08-09,0.922,0.422,269560,0.264,0.0,0.132,0.0322
John Lennon,#9 Dream - Remastered 2010,1975-02-22,0.0744,0.406,286813,0.597,0.0133,0.254,0.0336
John Lennon,Nobody Told Me - Remastered 2010,1984-03-17,0.177,0.712,214280,0.936,0.000837,0.0443,0.0364
John Lennon,Watching The Wheels - Remastered 2010,1981-05-30,0.408,0.607,239933,0.612,5.2e-06,0.32,0.0523
John Lennon,Whatever Gets You Thru The Night - Remastered 2010,1974-11-16,0.531,0.574,207307,0.853,0.581,0.543,0.0763
John Lennon,Woman - Remastered 2010,1981-04-25,0.378,0.588,212933,0.656,0.00227,0.042,0.0224
"John Lennon, Yoko Ono",Instant Karma! (We All Shine On) - Remastered 2010,1970-05-09,0.000689,0.628,200653,0.931,0.00146,0.0997,0.0968
John Mellencamp,Cherry Bomb,1988-01-09,0.0509,0.744,287107,0.945,1.41e-06,0.0435,0.0286
John Mellencamp,Crumblin' Down,1983-12-10,0.0165,0.782,214133,0.905,1.37e-06,0.0797,0.0789
John Mellencamp,Hurts So Good,1982-10-02,0.042,0.785,218960,0.737,0.000107,0.108,0.0363
John Mellencamp,Jack & Diane,1982-11-13,0.0365,0.811,254493,0.41,6.63e-06,0.0799,0.0391
John Mellencamp,Lonely Ol' Night,1985-10-26,0.00453,0.634,225173,0.886,0.00892,0.0397,0.0329
John Mellencamp,Paper In Fire,1987-10-17,0.00122,0.607,231200,0.905,0.000276,0.0624,0.0427
John Mellencamp,Pink Houses,1984-02-11,0.0514,0.635,283667,0.795,3.08e-06,0.0751,0.0269
John Mellencamp,R.O.C.K. In The U.S.A. (A Salute To 60's Rock),1986-04-12,0.00943,0.432,174360,0.958,2.79e-06,0.227,0.0819
John Mellencamp,Small Town,1986-01-18,0.155,0.659,221627,0.919,0.0054,0.312,0.0333
John Parr,St. Elmos Fire (Man in Motion),1985-09-28,0.15,0.612,251800,0.6,3.04e-06,0.222,0.0327
John Paul Young,Love Is In The Air,1978-10-28,0.0254,0.557,210293,0.791,0.000269,0.0603,0.0389
John Sebastian,"Welcome Back (Theme from Welcome Back, Kotter)",1976-06-05,0.412,0.745,170893,0.373,8.88e-05,0.158,0.0325
John Stewart,Gold,1979-08-11,0.464,0.692,244133,0.598,1.19e-06,0.0926,0.0373
"John Stewart / Ellen Shade / Martin Katz, John Stewart - Tenor, Martin Katz - Piano, Ellen Shade - Soprano","Canticle II , Abraham And Isaac, Op. 51 - Produced",1968-12-28,0.947,0.26,891173,0.149,1.42e-05,0.112,0.0543
John Travolta,Let Her In,1976-07-24,0.661,0.314,178177,0.361,0.782,0.494,0.0298
"John Travolta, Olivia Newton-John",Summer Nights - From “Grease”,1978-10-21,0.62,0.747,216907,0.663,5.24e-05,0.0861,0.0545
"John Travolta, Olivia Newton-John",You're The One That I Want - From “Grease”,1978-06-24,0.281,0.758,169840,0.612,0.00288,0.0954,0.0598
John Waite,Missing You,1984-10-13,0.052,0.552,269760,0.552,0.0,0.046,0.0364
Johnnie Taylor,Disco Lady,1976-05-08,0.0568,0.719,267067,0.79,0.0,0.0573,0.0521
Johnnie Taylor,Who's Making Love,1969-01-04,0.206,0.79,166067,0.349,0.0,0.168,0.065
"Johnny & The Hurricanes, Johnny Paris",Red River Rock,1959-10-05,0.662,0.339,138240,0.935,0.000749,0.182,0.103
Johnny Bristol,Hang On In There Baby,1974-10-05,0.336,0.593,233720,0.855,2.1e-05,0.126,0.0775
Johnny Burnette,You're Sixteen,1961-01-09,0.797,0.434,119000,0.458,0.0,0.0698,0.0351
Johnny Cash,"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",1969-09-20,0.77,0.63,233813,0.489,0.0,0.381,0.18
Johnny Crawford,Cindy's Birthday,1962-06-30,0.755,0.61,128453,0.316,0.000218,0.121,0.0335
Johnny Gill,Rub You The Right Way,1990-08-11,0.0152,0.66,332307,0.873,0.00324,0.331,0.0461
Johnny Hates Jazz,Shattered Dreams - Remastered 2008,1988-06-11,0.0318,0.655,207347,0.72,4.71e-05,0.25,0.0312
Johnny Horton,North To Alaska,1961-01-16,0.718,0.647,169560,0.371,0.0,0.345,0.0389
Johnny Horton,Sink the Bismark,1960-05-16,0.68,0.679,194400,0.565,2.64e-05,0.0509,0.0896
Johnny Horton,The Battle Of New Orleans,1959-08-10,0.805,0.704,151507,0.743,0.0,0.205,0.129
Johnny Kemp,Just Got Paid - Single Version,1988-08-13,0.0157,0.794,212467,0.783,2.75e-05,0.109,0.0804
Johnny Lee,Lookin' for Love,1980-10-04,0.586,0.74,220440,0.394,0.000215,0.316,0.0331
Johnny Mathis,Gina,1962-11-24,0.838,0.359,165960,0.34,4.14e-05,0.0788,0.0293
Johnny Mathis,What Will My Mary Say,1963-03-23,0.776,0.313,189053,0.399,2.31e-06,0.157,0.031
Johnny Nash,Hold Me Tight,1968-11-30,0.668,0.78,162867,0.436,5.8e-05,0.214,0.0538
Johnny Nash,I Can See Clearly Now - Edit,1972-12-16,0.633,0.681,164733,0.373,0.00113,0.0751,0.0568
Johnny Preston,Cradle of Love,1960-05-30,0.272,0.45,140173,0.592,0.0181,0.0852,0.076
Johnny Preston,Running Bear,1960-03-07,0.775,0.76,157960,0.468,2.36e-05,0.184,0.0482
Johnny Rivers,"Baby, I Need Your Lovin'",1967-03-25,0.781,0.539,190200,0.423,0.0,0.179,0.0284
Johnny Rivers,Memphis - Live At Whiskey A Go Go / 1964 / Remastered 1995,1964-08-01,0.593,0.614,164800,0.794,0.0,0.966,0.0742
Johnny Rivers,Mountain Of Love,1964-12-05,0.179,0.698,165427,0.401,4.78e-06,0.0848,0.0384
Johnny Rivers,Secret Agent Man,1966-05-07,0.0238,0.539,185493,0.452,0.0197,0.944,0.0461
Johnny Rivers,Seventh Son,1965-07-31,0.228,0.541,136613,0.296,0.000208,0.966,0.0517
Johnny Rivers,Swayin' To The Music (Slow Dancin'),1977-10-22,0.386,0.343,243267,0.258,2.49e-06,0.0574,0.0313
Johnny Rivers,The Poor Side Of Town,1966-12-03,0.722,0.423,218387,0.467,2.38e-06,0.255,0.0317
Johnny Rivers,The Tracks Of My Tears,1967-07-08,0.341,0.609,168680,0.181,0.0,0.295,0.0282
Johnny Thunder,Loop De Loop,1963-02-16,0.706,0.656,141960,0.704,3.4e-06,0.408,0.0585
Johnny Tillotson,It Keeps Right on A-Hurtin',1962-07-14,0.748,0.468,169573,0.281,0.0,0.14,0.0276
Johnny Tillotson,Poetry In Motion - 1960 #2 Billboard chart hit,1960-12-12,0.392,0.485,154467,0.706,0.0,0.0991,0.0319
Johnny Tillotson,Talk Back Trembling Lips,1964-01-11,0.666,0.536,159011,0.563,0.0,0.358,0.0288
Johnny Tillotson,Without You,1961-09-25,0.425,0.538,128800,0.558,0.636,0.119,0.0263
Jon B.,They Don't Know,1998-07-11,0.588,0.699,274667,0.388,1.98e-06,0.0658,0.0531
"Jon B., Babyface",Someone to Love (feat. Babyface),1995-08-05,0.121,0.667,273400,0.456,9.39e-06,0.0963,0.0252
Jon Bon Jovi,"Blaze Of Glory - From ""Young Guns II"" Soundtrack",1990-10-06,0.0564,0.55,335240,0.618,2.62e-05,0.0937,0.0307
Jon Reddick,"God, Turn It Around",1968-08-24,0.2,0.538,255320,0.41,1.07e-05,0.0676,0.0297
Jon Secada,If You Go,1994-07-23,0.0779,0.631,275000,0.813,0.0,0.167,0.0337
Jon Secada,Just Another Day,1992-10-03,0.0194,0.717,327427,0.642,0.000249,0.043,0.0287
"Jonas Blue, Why Don't We",Don’t Wake Me Up,2012-11-10,0.222,0.621,188894,0.747,0.000194,0.147,0.0337
Jonas Brothers,Burnin' Up,2008-08-23,0.0296,0.667,175093,0.954,0.0,0.331,0.0817
Jonas Brothers,Sucker,2019-08-10,0.0427,0.842,181027,0.734,0.0,0.106,0.0588
Jonas Brothers,Tonight,2008-08-16,0.000528,0.464,209707,0.954,3.18e-05,0.313,0.083
Jonathan Edwards,Sunshine (Go Away Today),1972-02-05,0.335,0.705,138733,0.359,0.0,0.0968,0.0649
Jordan Knight,Give It To You,1999-05-15,0.0552,0.83,289760,0.655,1.09e-06,0.0567,0.0544
Jordin Sparks,Battlefield,2009-08-08,0.0178,0.613,241348,0.634,0.0,0.0719,0.0339
Jordin Sparks,Tattoo,2008-01-26,0.431,0.566,233467,0.766,0.0,0.101,0.0399
"Jordin Sparks, Chris Brown",No Air (feat. Chris Brown) - Acoustic Version,2008-06-28,0.715,0.475,253693,0.501,0.0,0.0666,0.0309
José Feliciano,Feliz Navidad,2021-01-02,0.55,0.513,182067,0.831,0.0,0.336,0.0383
José Feliciano,Light My Fire,1968-09-21,0.708,0.479,215133,0.546,0.031,0.35,0.035
Journey,Be Good to Yourself,1986-05-31,0.0247,0.35,231680,0.986,6.61e-06,0.315,0.067
Journey,Don't Stop Believin',1982-01-02,0.127,0.5,250987,0.748,0.0,0.447,0.0363
Journey,Only the Young,1985-03-23,0.0131,0.336,245960,0.837,0.0,0.311,0.0399
Journey,Open Arms,1982-04-17,0.584,0.405,202173,0.21,0.0,0.139,0.0279
Journey,Separate Ways (Worlds Apart),1983-04-23,0.0188,0.451,323707,0.962,3.17e-06,0.277,0.0734
Journey,Who's Crying Now,1981-10-17,0.0548,0.57,300147,0.554,0.0,0.139,0.0288
Jr. Walker & The All Stars,Shotgun,1965-04-24,0.155,0.751,176627,0.683,7.83e-06,0.0611,0.0338
Jr. Walker & The All Stars,What Does It Take (To Win Your Love),1969-08-16,0.206,0.607,150400,0.513,0.0,0.0802,0.0277
Judson Mancebo,Don’t Let The Sun Go Down On Me,1992-02-29,0.994,0.468,342580,0.0735,0.921,0.126,0.0329
Judy Collins,Both Sides Now,1968-12-21,0.413,0.352,195840,0.3,0.0,0.1,0.0301
Juelz Santana,There It Go (The Whistle Song),2006-02-04,0.023,0.942,180493,0.892,0.000897,0.264,0.196
Juice Newton,Angel Of The Morning,1981-05-23,0.433,0.452,250440,0.313,2.6e-05,0.0772,0.026
Juice Newton,Love's Been A Little Bit Hard On Me,1982-07-17,0.114,0.609,194733,0.791,0.0169,0.077,0.0317
Juice Newton,Queen Of Hearts,1981-10-03,0.211,0.658,205827,0.862,5.44e-05,0.2,0.0535
Juice Newton,The Sweetest Thing (I've Ever Known),1982-02-27,0.55,0.253,247227,0.323,1.22e-06,0.253,0.0268
Juice WRLD,Conversations,2020-07-25,0.176,0.747,181661,0.622,0.0,0.151,0.0838
Juice WRLD,Lucid Dreams,2019-12-21,0.349,0.511,239836,0.566,0.0,0.34,0.2
Juice WRLD,Wishing Well,2020-07-25,0.00336,0.65,194621,0.613,0.0,0.267,0.128
"Juice WRLD, Halsey",Life's A Mess (feat. Halsey),2020-07-25,0.337,0.63,202193,0.446,0.0,0.166,0.0351
"Juice WRLD, Marshmello",Come & Go (with Marshmello),2020-08-01,0.0172,0.625,205485,0.814,0.0,0.158,0.0657
"Juice WRLD, Marshmello, The Kid LAROI, Polo G",Hate The Other Side (with Marshmello & The Kid Laroi),2020-07-25,0.291,0.701,160212,0.65,0.0,0.112,0.104
"Juice WRLD, The Weeknd",Smile (with The Weeknd),2020-08-22,0.224,0.694,196180,0.685,0.0,0.124,0.133
"Juice WRLD, YoungBoy Never Broke Again",Bandit (with YoungBoy Never Broke Again),2019-10-26,0.0687,0.474,189323,0.631,0.0,0.132,0.343
Julian Lennon,Too Late For Goodbyes,1985-04-06,0.16,0.867,214645,0.743,0.00365,0.0451,0.0325
Julian Lennon,Valotte,1985-01-12,0.238,0.571,257040,0.512,0.0773,0.0998,0.0259
Julie Rogers,The Wedding,1965-01-09,0.795,0.27,222400,0.388,1.63e-05,0.112,0.0295
"Julio Iglesias, Willie Nelson",To All the Girls I've Loved Before,1984-06-02,0.521,0.551,212667,0.572,1.86e-05,0.0859,0.0328
Justin Bieber,Anyone,2021-01-16,0.185,0.685,190779,0.521,3.59e-06,0.111,0.0345
Justin Bieber,Boyfriend,2012-06-30,0.0344,0.716,173360,0.547,0.00184,0.0931,0.0507
Justin Bieber,Love Yourself,2016-05-21,0.835,0.609,233720,0.378,0.0,0.28,0.438
Justin Bieber,Sorry,2016-04-02,0.0797,0.654,200787,0.76,0.0,0.299,0.045
Justin Bieber,What Do You Mean?,2016-02-06,0.585,0.832,208543,0.631,0.000892,0.0838,0.0736
Justin Bieber,Yummy,2020-01-25,0.345,0.677,208520,0.506,0.0,0.118,0.0964
"Justin Bieber, Big Sean",As Long As You Love Me,2012-11-17,0.0811,0.571,229467,0.873,0.0,0.361,0.1
"Justin Bieber, Chance the Rapper",Holy (feat. Chance The Rapper),2021-02-13,0.196,0.673,212093,0.704,0.0,0.0898,0.36
"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),2021-07-17,0.321,0.677,198082,0.696,0.0,0.42,0.119
"Justin Bieber, Jaden",Never Say Never,2011-03-05,0.0181,0.739,227853,0.807,0.0,0.295,0.0652
"Justin Bieber, Ludacris",Baby,2010-04-24,0.0401,0.728,214240,0.859,0.0,0.111,0.137
"Justin Bieber, Nicki Minaj",Beauty And A Beat,2013-02-23,0.000704,0.601,227987,0.843,5.27e-05,0.0681,0.0593
"Justin Bieber, Quavo",Intentions,2020-07-18,0.315,0.813,212869,0.554,0.0,0.105,0.0544
Justin Timberlake,Cry Me a River,2003-03-22,0.577,0.624,288333,0.654,0.0,0.104,0.183
Justin Timberlake,Filthy,2018-01-20,0.0354,0.745,293947,0.579,0.0118,0.246,0.138
Justin Timberlake,Mirrors,2013-08-03,0.234,0.574,484147,0.512,0.0,0.0946,0.0503
